Comments,Date,F9,Product Type,"ProductDescription""URL",Productid,Time,Price,Qty
https://www.example.com/product/MG_8769.html,28/01/2018,,Men's Waterproof Hiking Boots,These waterproof hiking boots for men are rugged enough for peak performance yet light and quick enough to keep feet from feeling weighed down.,MG-8769,30/12/1899 00:00:00,74.69,2
https://www.example.com/product/RI_3895.html,29/01/2018,,Light-Up Running Jacket,"The next level of weather protection. This light-up jacket resists the elements and keeps you visible in low-light conditions. From running, biking or walking the dog, the durable construction and innovative safety features won't let you down.",RI-3895,30/12/1899 00:15:00,29.81,0
https://www.example.com/product/RI_8070.html,30/01/2018,,Men's Ventilated Trail Shoes,"Great grip and super extra breathability make these amazing ventilated hikers ideal for warm, dry conditions.",RI-8070,30/12/1899 00:30:00,80.08,1
https://www.example.com/product/RI_9546.html,31/01/2018,,Switch Fly Rods,This lightweight fly rod delivers outstanding performance and can be used as either a traditional one-handed rod or as a two-handed spey rod. Two-handed technique is ideal for larger rivers and situations where there isn't space for a backcast.,RI-9546,30/12/1899 00:45:00,25.55,1
https://www.example.com/product/CC_9259.html,13/02/2018,,"Throw Pillow, Wooden Paddles","Add a pop of paddling fun to your bed, chair or sofa with this whimsical throw pillow, handhooked on front for a timeless style.",CC-9259,30/12/1899 01:00:00,48,9
https://www.example.com/product/CC_1697.html,14/02/2018,,Men's Heavy-Duty Suspenders,"These tough Men's Heavy-Duty Suspenders are made to hold up heavy wool pants without stretching in any way, shape or form.",CC-1697,30/12/1899 01:15:00,34.22,1
https://www.example.com/product/RI_6052.html,15/02/2018,,Organic Textured Cotton Towel,"All the softness and absorbency you've come to expect from our towels, in certified organic cotton for natural, ecofriendly comfort.",RI-6052,30/12/1899 01:30:00,89.34,2
https://www.example.com/product/YY_3522.html,16/02/2018,,"Cycling Jersey, Short-Sleeve","Designed with lots of performance features, plus a semi-form-fitting profile, this cycling jersey delivers all-day comfort and serious style.",YY-3522,30/12/1899 01:45:00,19.34,2
https://www.example.com/product/YY_5315.html,17/02/2018,,"Men's Silk Underwear, Crewneck","For strong, lightweight comfort without bulk, our men's silk crewneck makes for an ideal first layer against the cold from slope to lodge to shoveling snow.",YY-5315,30/12/1899 02:00:00,45.39,0
https://www.example.com/product/BH_9827.html,18/02/2018,,"All-Weather Dining Table, Round 48""","Made in the USA to our exacting standards, this round patio table is durable enough to weather the elements year-round.",BH-9827,30/12/1899 02:15:00,78.07,2
https://www.example.com/product/BH_7885.html,19/02/2018,,Women's No-Show Socks,"The warmth and comfort of wool, these socks are designed in a minimal, no-show style that is of pure elegance and design.",BH-7885,30/12/1899 02:30:00,52.45,1
https://www.example.com/product/BH_7531.html,20/02/2018,,Women's  Fly Rod 8 Wt.,"Amazingly crisp action and a remarkably light feel in our 8\'9"" length fly rod, impeccably designed for her.",BH-7531,30/12/1899 02:45:00,48.08,1
https://www.example.com/product/BH_3190.html,21/02/2018,,Men's Down Vest,"Our best-value down vest is packed with ultralight 650-fill for warmth and protection, even when wet.",BH-3190,30/12/1899 03:00:00,65.38,3
https://www.example.com/product/HK_3372.html,22/02/2018,,Tropic Cap,"Made with the same tropical fabric as our bestselling shirts, this wonderful cap provides UPF 50+ sun protection.",HK-3372,30/12/1899 03:15:00,6.45,3
https://www.example.com/product/HK_5716.html,23/02/2018,,Women's 3-in-1 Jacket,Our women's 3-in-1 jacket offers three times the value and versatility for the solution to year-round weather conditions.,HK-5716,30/12/1899 03:30:00,46.01,1
https://www.example.com/product/AN_5096.html,24/02/2018,,"Organic Cotton Oxford Shirt, Plaid",Introducing our most easygoing oxford ever. This plaid oxford shirt is made from the purest cotton organically sourced and 100% certified and washed for a super laid-back look and feel.,AN-5096,30/12/1899 03:45:00,33.83,1
https://www.example.com/product/AN_8641.html,25/02/2018,,Kids' Good Mocs,"Just like Mom and Dad our shearling slippers wrap completely around little feet for soft, cozy comfort.",AN-8641,30/12/1899 04:00:00,65.18,3
https://www.example.com/product/ZN_4777.html,26/02/2018,,"Kids' Sweater Fleece, Hooded","With its fleece warmth, sweatshirt styling, and fun colorblocking, our updated kids' Sweater Fleece is the perfect layer for the classroom and the world outside of it.",ZN-4777,30/12/1899 04:15:00,34.14,2
https://www.example.com/product/ZN_2049.html,27/02/2018,,"Women's Hikers, Low Ventilated","Youll be light on your feet with these ultralightweight, breathable hikers. But dont let the comfortable, airy construction fool you: they deliver all the protection and stability you expect from a trail shoe.",ZN-2049,30/12/1899 04:30:00,83.32,0
https://www.example.com/product/GN_5043.html,28/02/2018,,"Women's Comfort Cycling Jersey, Short-Sleeve","This women's quarter-zip cycling shirt is our most popular cycling jersey, thanks in part to sun protection that's built right in. With a more relaxed look and fit than most cycling apparel.",GN-5043,30/12/1899 04:45:00,69.07,3
https://www.example.com/product/GN_9860.html,13/03/2018,,"Men's Boxer, 5"" Inseam","Perfect for a day on the bonefish flats, these boxers are breathable, quick drying and just may become your everyday underwear.",GN-9860,30/12/1899 05:00:00,24.86,0
https://www.example.com/product/YY_2600.html,14/03/2018,,"Kids' Mountain Bike, 24""","An easy-to-ride mountain bike that not only proves to be great fun for all the kids, but also offers great durability and stability.",YY-2600,30/12/1899 05:15:00,90.99,1
https://www.example.com/product/YY_4017.html,15/03/2018,,Leather Sofa,Our American-made leather sofa exhibits quality craftsmanship in every detail and delivers lasting comfort through and through.,YY-4017,30/12/1899 05:30:00,69.52,1
https://www.example.com/product/RI_9156.html,16/03/2018,,Girls' Waterproof 3-in-1 Jacket,"This 3-in-1 girls' jacket offers three great options for one great price, so she'll stay warm, dry and comfortable whatever the weather.",RI-9156,30/12/1899 05:45:00,53.62,1
https://www.example.com/product/RI_9121.html,17/03/2018,,Women's No-Show Socks,These ankle socks provide all-day comfort and no-show style. In a naturally breathable merino-wool blend that wicks moisture and dries quickly.,RI-9121,30/12/1899 06:00:00,9.81,1
https://www.example.com/product/RI_7338.html,18/03/2018,,Kids' Hat,"Let your kids show their spirit for adventure with our fun trucker-style hat, ready to go from trailhead to bus stop and back.",RI-7338,30/12/1899 06:15:00,43.53,1
https://www.example.com/product/ZN_6172.html,19/03/2018,,Men's Snowshoes Set,"Take your favorite hikes all winter long with these easy-to-use snowshoes. Best of all, this boxed set helps you save money and includes everything you need to get started: snowshoes, hiking poles and a tough snowshoe storage bag.",ZN-6172,30/12/1899 06:30:00,30.79,0
https://www.example.com/product/YY_2057.html,20/03/2018,,"Tippet Material, Pro Freshwater","This tippet is field tested in a variety of situations, from spring creeks to tidal rips, and is guaranteed to perform under the worst weather conditions.",YY-2057,30/12/1899 06:45:00,43.4,0
https://www.example.com/product/BH_5486.html,21/03/2018,,Women's Wet Suit,"Ideal for kayaking, paddle boarding and surfing, this wetsuit covers your core in 3 mm neoprene for maximum warmth, while 2 mm thickness on your arms and legs ensures your range of motion is at its best.",BH-5486,30/12/1899 07:00:00,0.91,1
https://www.example.com/product/BH_1732.html,22/03/2018,,"Waterproof Boots, Tall",Industry-leading insulation and innovative construction allow us to make these super-warm winter boots 50% lighter than traditional boots.,BH-1732,30/12/1899 07:15:00,65.46,3
https://www.example.com/product/BH_4480.html,24/03/2018,,Heated Insoles,"This pair of water-resistant, remote-controlled heated insoles features thermal technology engineered to keep your feet warm, not hot, to avoid sweating and freezing.",BH-4480,30/12/1899 07:45:00,51.42,0
https://www.example.com/product/BH_1061.html,25/03/2018,,"Base Layer, Pants",Our exclusive wool performance fabric makes these pants an ideal base layer for cool-weather sports.,BH-1061,30/12/1899 08:00:00,62.55,0
https://www.example.com/product/ON_7017.html,26/03/2018,,"Quarter-Zip Hoodie, Camo","This camo quarter-zip hoodie is an extremely versatile mid layer thats great for all hunting seasons. Its made from warm, breathable fleece and features an innovative lightweight hood with a built-in face mask.",ON-7017,30/12/1899 08:15:00,0.9,2
https://www.example.com/product/ON_1026.html,27/03/2018,,"Tee, Traditional Fit, Short-Sleeve","Made of soft cotton that resists wrinkles, stains, shrinking, fading and pilling, our resilient tee keeps its shape wash after wash.",ON-1026,30/12/1899 08:30:00,20.65,3
https://www.example.com/product/AN_6109.html,28/03/2018,,Kids' Pullover,"Just as good today as it was back then, our kids' retro fleece pullover combines our soft, warm, stretchy fleece with cool colorblock designs and our logo.",AN-6109,30/12/1899 08:45:00,18.58,4
https://www.example.com/product/AN_9272.html,29/03/2018,,Women's Essential Running Vest,"This lightweight fitness vest allows excellent freedom of movement while resisting wind and light rain, making it perfect for running, hiking, cycling or walks around town.",AN-9272,30/12/1899 09:00:00,57.75,3
https://www.example.com/product/AN_1646.html,30/03/2018,,"Rolling Duffle, Extra-Large","We kept the heritage-inspired design of our spacious rolling duffle, then added thoughtful details like easy-rolling spinner wheels.",AN-1646,30/12/1899 09:15:00,78.74,0
